,valid,date,time,hour,one_hour_precip_amount,wxcode1,wxcode2,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,snowdepth
0,2023-06-30 00:51:00,2023-06-30,00:51:00,0,0.00,HZ,,0,0.0,0,0.0
1,2023-06-30 01:51:00,2023-06-30,01:51:00,1,0.00,HZ,,0,0.0,0,0.0
2,2023-06-30 02:51:00,2023-06-30,02:51:00,2,0.00,HZ,,0,0.0,0,0.0
3,2023-06-30 03:51:00,2023-06-30,03:51:00,3,0.00,HZ,,0,0.0,0,0.0
4,2023-06-30 04:51:00,2023-06-30,04:51:00,4,0.00,HZ,,0,0.0,0,0.0
5,2023-06-30 05:51:00,2023-06-30,05:51:00,5,0.00,BR,,0,0.0,0,0.0
6,2023-06-30 06:51:00,2023-06-30,06:51:00,6,0.00,BR,,0,0.0,0,0.0
7,2023-06-30 07:51:00,2023-06-30,07:51:00,7,0.00,BR,,0,0.0,0,0.0
8,2023-06-30 08:51:00,2023-06-30,08:51:00,8,0.00,BR,,0,0.0,0,0.0
9,2023-06-30 09:51:00,2023-06-30,09:51:00,9,0.00,BR,,0,0.0,0,0.0
10,2023-06-30 10:51:00,2023-06-30,10:51:00,10,0.00,BR,,0,0.0,0,0.0
11,2023-06-30 11:42:00,2023-06-30,11:42:00,11,0.00,HZ,,0,0.0,0,0.0
12,2023-06-30 11:51:00,2023-06-30,11:51:00,11,0.00,HZ,,0,0.0,0,0.0
13,2023-06-30 12:01:00,2023-06-30,12:01:00,12,0.00,HZ,,0,0.0,0,0.0
14,2023-06-30 12:51:00,2023-06-30,12:51:00,12,0.00,HZ,,0,0.0,0,0.0
15,2023-06-30 13:51:00,2023-06-30,13:51:00,13,0.00,HZ,,0,0.0,0,0.0
16,2023-06-30 14:51:00,2023-06-30,14:51:00,14,0.00,HZ,,0,0.0,0,0.0
17,2023-06-30 15:51:00,2023-06-30,15:51:00,15,0.00,HZ,,0,0.0,0,0.0
18,2023-06-30 16:29:00,2023-06-30,16:29:00,16,0.00,HZ,,0,0.0,0,0.0
19,2023-06-30 16:42:00,2023-06-30,16:42:00,16,0.00,HZ,,0,0.0,0,0.0
20,2023-06-30 16:51:00,2023-06-30,16:51:00,16,0.00,HZ,,0,0.0,0,0.0
21,2023-06-30 17:51:00,2023-06-30,17:51:00,17,0.00,HZ,,0,0.0,0,0.0
22,2023-06-30 18:51:00,2023-06-30,18:51:00,18,0.00,HZ,,0,0.0,0,0.0
23,2023-06-30 19:40:00,2023-06-30,19:40:00,19,0.00,HZ,,0,0.0,0,0.0
24,2023-06-30 19:51:00,2023-06-30,19:51:00,19,0.00,HZ,,0,0.0,0,0.0
25,2023-06-30 20:51:00,2023-06-30,20:51:00,20,0.00,HZ,,0,0.0,0,0.0
26,2023-06-30 21:34:00,2023-06-30,21:34:00,21,0.00,HZ,,0,0.0,0,0.0
27,2023-06-30 21:51:00,2023-06-30,21:51:00,21,0.00,HZ,,0,0.0,0,0.0
