station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
NYC,2023-06-30 00:51,-73.9693,40.7790,27.00,74.00,63.00,68.76,0.00,0.00,0.00,30.04,1016.40,5.00,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,73.90,KNYC 300051Z AUTO 00000KT 5SM HZ CLR 23/17 A3004 RMK AO2 SLP164 T02330172 $,null
NYC,2023-06-30 01:51,-73.9693,40.7790,27.00,74.00,64.00,71.21,null,4.00,0.00,30.06,1017.00,5.00,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,73.90,KNYC 300151Z AUTO VRB04KT 5SM HZ CLR 23/18 A3006 RMK AO2 SLP170 T02330178 $,null
NYC,2023-06-30 02:51,-73.9693,40.7790,27.00,73.00,64.00,73.40,null,null,0.00,30.06,1017.10,5.00,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,73.00,KNYC 300251Z AUTO 5SM HZ CLR 23/18 A3006 RMK AO2 SLP171 T02280178 53007 $,null
NYC,2023-06-30 03:51,-73.9693,40.7790,27.00,72.00,65.00,78.35,0.00,0.00,0.00,30.06,1016.80,4.00,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,72.00,KNYC 300351Z AUTO 00000KT 4SM HZ CLR 22/18 A3006 RMK AO2 SLP168 T02220183 $,null
NYC,2023-06-30 04:51,-73.9693,40.7790,27.00,71.00,65.00,80.78,0.00,0.00,0.00,30.06,1016.90,4.00,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,71.10,KNYC 300451Z AUTO 00000KT 4SM HZ CLR 22/18 A3006 RMK AO2 SLP169 T02170183 402780183 $,null
NYC,2023-06-30 05:51,-73.9693,40.7790,27.00,70.00,66.00,87.14,0.00,0.00,0.00,30.06,1016.80,4.00,null,CLR,null,null,null,null,null,null,null,BR,null,null,null,null,null,null,70.00,KNYC 300551Z AUTO 00000KT 4SM BR CLR 21/19 A3006 RMK AO2 SLP168 T02110189 10244 20211 56002 $,null
NYC,2023-06-30 06:51,-73.9693,40.7790,27.00,70.00,66.00,87.14,0.00,0.00,0.00,30.06,1016.80,4.00,null,FEW,null,null,null,7000.00,null,null,null,BR,null,null,null,null,null,null,70.00,KNYC 300651Z AUTO 00000KT 4SM BR FEW070 21/19 A3006 RMK AO2 SLP168 T02110189 $,null
NYC,2023-06-30 07:51,-73.9693,40.7790,27.00,71.00,67.00,86.59,0.00,0.00,0.00,30.06,1016.90,4.00,null,BKN,OVC,null,null,5500.00,7000.00,null,null,BR,null,null,null,null,null,null,71.10,KNYC 300751Z AUTO 00000KT 4SM BR BKN055 OVC070 22/19 A3006 RMK AO2 SLP169 T02170194 $,null
NYC,2023-06-30 08:51,-73.9693,40.7790,27.00,70.00,66.00,87.14,0.00,0.00,0.00,30.06,1017.00,3.00,null,CLR,null,null,null,null,null,null,null,BR,null,null,null,null,null,null,70.00,KNYC 300851Z AUTO 00000KT 3SM BR CLR 21/19 A3006 RMK AO2 SLP170 T02110189 53002 $,null
NYC,2023-06-30 09:51,-73.9693,40.7790,27.00,70.00,66.00,87.14,0.00,0.00,0.00,30.07,1017.10,2.50,null,CLR,null,null,null,null,null,null,null,BR,null,null,null,null,null,null,70.00,KNYC 300951Z AUTO 00000KT 2 1/2SM BR CLR 21/19 A3007 RMK AO2 SLP171 T02110189 $,null
NYC,2023-06-30 10:51,-73.9693,40.7790,27.00,71.00,67.00,86.59,0.00,0.00,0.00,30.07,1017.20,2.50,null,CLR,null,null,null,null,null,null,null,BR,null,null,null,null,null,null,71.10,KNYC 301051Z AUTO 00000KT 2 1/2SM BR CLR 22/19 A3007 RMK AO2 SLP172 T02170194 $,null
NYC,2023-06-30 11:42,-73.9693,40.7790,27.00,73.00,67.00,81.20,0.00,0.00,0.00,30.08,null,3.00,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,73.00,KNYC 301142Z AUTO 00000KT 3SM HZ CLR 23/19 A3008 RMK AO2 T02280194 $,null
NYC,2023-06-30 11:51,-73.9693,40.7790,27.00,73.00,66.00,78.70,0.00,0.00,0.00,30.08,1017.50,3.00,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,73.00,KNYC 301151Z AUTO 00000KT 3SM HZ CLR 23/19 A3008 RMK AO2 SLP175 T02280189 10228 20211 53005 $,null
NYC,2023-06-30 12:01,-73.9693,40.7790,27.00,74.00,66.00,76.36,0.00,0.00,0.00,30.08,null,2.50,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,73.90,KNYC 301201Z AUTO 00000KT 2 1/2SM HZ CLR 23/19 A3008 RMK AO2 T02330189 $,null
NYC,2023-06-30 12:51,-73.9693,40.7790,27.00,76.00,63.00,64.31,0.00,0.00,0.00,30.08,1017.70,2.50,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,75.90,KNYC 301251Z AUTO 00000KT 2 1/2SM HZ CLR 24/17 A3008 RMK AO2 SLP177 T02440172 $,null
NYC,2023-06-30 13:51,-73.9693,40.7790,27.00,78.00,61.00,55.71,null,4.00,0.00,30.09,1017.80,2.50,null,FEW,null,null,null,4000.00,null,null,null,HZ,null,null,null,null,null,null,78.10,KNYC 301351Z AUTO VRB04KT 2 1/2SM HZ FEW040 26/16 A3009 RMK AO2 SLP178 T02560161 $,null
