,valid,date,time,hour,altimeter,sea_level_pressure
0,2023-06-30 00:51:00,2023-06-30,00:51:00,0,30.04,1016.4
1,2023-06-30 01:51:00,2023-06-30,01:51:00,1,30.06,1017.0
2,2023-06-30 02:51:00,2023-06-30,02:51:00,2,30.06,1017.1
3,2023-06-30 03:51:00,2023-06-30,03:51:00,3,30.06,1016.8
4,2023-06-30 04:51:00,2023-06-30,04:51:00,4,30.06,1016.9
5,2023-06-30 05:51:00,2023-06-30,05:51:00,5,30.06,1016.8
6,2023-06-30 06:51:00,2023-06-30,06:51:00,6,30.06,1016.8
7,2023-06-30 07:51:00,2023-06-30,07:51:00,7,30.06,1016.9
8,2023-06-30 08:51:00,2023-06-30,08:51:00,8,30.06,1017.0
9,2023-06-30 09:51:00,2023-06-30,09:51:00,9,30.07,1017.1
10,2023-06-30 10:51:00,2023-06-30,10:51:00,10,30.07,1017.2
11,2023-06-30 11:42:00,2023-06-30,11:42:00,11,30.08,1018.4
12,2023-06-30 11:51:00,2023-06-30,11:51:00,11,30.08,1017.5
13,2023-06-30 12:01:00,2023-06-30,12:01:00,12,30.08,1018.4
14,2023-06-30 12:51:00,2023-06-30,12:51:00,12,30.08,1017.7
15,2023-06-30 13:51:00,2023-06-30,13:51:00,13,30.09,1017.8
16,2023-06-30 14:51:00,2023-06-30,14:51:00,14,30.1,1018.1
17,2023-06-30 15:51:00,2023-06-30,15:51:00,15,30.09,1017.9
18,2023-06-30 16:29:00,2023-06-30,16:29:00,16,30.08,1018.4
19,2023-06-30 16:42:00,2023-06-30,16:42:00,16,30.08,1018.4
20,2023-06-30 16:51:00,2023-06-30,16:51:00,16,30.08,1017.6
21,2023-06-30 17:51:00,2023-06-30,17:51:00,17,30.07,1017.2
22,2023-06-30 18:51:00,2023-06-30,18:51:00,18,30.06,1016.9
23,2023-06-30 19:40:00,2023-06-30,19:40:00,19,30.05,1015.0
24,2023-06-30 19:51:00,2023-06-30,19:51:00,19,30.05,1016.6
25,2023-06-30 20:51:00,2023-06-30,20:51:00,20,30.06,1016.8
26,2023-06-30 21:34:00,2023-06-30,21:34:00,21,30.06,1018.4
27,2023-06-30 21:51:00,2023-06-30,21:51:00,21,30.05,1016.7
28,2023-06-30 22:51:00,2023-06-30,22:51:00,22,30.05,1016.7
29,2023-06-30 23:51:00,2023-06-30,23:51:00,23,30.06,1016.9
30,2023-07-01 00:51:00,2023-07-01,00:51:00,0,30.06,1017.1
31,2023-07-01 01:51:00,2023-07-01,01:51:00,1,30.08,1017.6
32,2023-07-01 02:51:00,2023-07-01,02:51:00,2,30.09,1017.8
33,2023-07-01 03:51:00,2023-07-01,03:51:00,3,30.08,1017.7
34,2023-07-01 04:51:00,2023-07-01,04:51:00,4,30.08,1017.4
35,2023-07-01 05:51:00,2023-07-01,05:51:00,5,30.08,1017.5
36,2023-07-01 06:51:00,2023-07-01,06:51:00,6,30.07,1017.1
37,2023-07-01 07:51:00,2023-07-01,07:51:00,7,30.07,1017.2
38,2023-07-01 08:51:00,2023-07-01,08:51:00,8,30.07,1017.4
39,2023-07-01 09:51:00,2023-07-01,09:51:00,9,30.08,1017.6
40,2023-07-01 10:51:00,2023-07-01,10:51:00,10,30.09,1017.8
41,2023-07-01 11:51:00,2023-07-01,11:51:00,11,30.09,1018.0
42,2023-07-01 12:51:00,2023-07-01,12:51:00,12,30.1,1018.1
43,2023-07-01 13:51:00,2023-07-01,13:51:00,13,30.09,1017.9
44,2023-07-01 14:51:00,2023-07-01,14:51:00,14,30.09,1018.0
45,2023-07-01 15:51:00,2023-07-01,15:51:00,15,30.09,1017.9
46,2023-07-01 16:51:00,2023-07-01,16:51:00,16,30.07,1017.2
47,2023-07-01 17:51:00,2023-07-01,17:51:00,17,30.07,1017.4
48,2023-07-01 18:51:00,2023-07-01,18:51:00,18,30.05,1016.5
49,2023-07-01 19:51:00,2023-07-01,19:51:00,19,30.04,1016.1
50,2023-07-01 20:51:00,2023-07-01,20:51:00,20,30.02,1015.7
51,2023-07-01 21:51:00,2023-07-01,21:51:00,21,30.01,1015.2
52,2023-07-01 22:51:00,2023-07-01,22:51:00,22,30.0,1015.1
53,2023-07-01 23:51:00,2023-07-01,23:51:00,23,30.01,1015.0
54,2023-07-02 00:51:00,2023-07-02,00:51:00,0,30.01,1015.1
55,2023-07-02 01:51:00,2023-07-02,01:51:00,1,30.0,1015.0
56,2023-07-02 02:51:00,2023-07-02,02:51:00,2,30.0,1014.8
57,2023-07-02 03:51:00,2023-07-02,03:51:00,3,29.99,1014.4
58,2023-07-02 04:51:00,2023-07-02,04:51:00,4,29.98,1014.3
59,2023-07-02 05:51:00,2023-07-02,05:51:00,5,29.97,1013.8
60,2023-07-02 06:51:00,2023-07-02,06:51:00,6,29.95,1013.0
61,2023-07-02 07:24:00,2023-07-02,07:24:00,7,29.94,1011.6
62,2023-07-02 07:39:00,2023-07-02,07:39:00,7,29.93,1011.6
63,2023-07-02 07:51:00,2023-07-02,07:51:00,7,29.93,1012.3
64,2023-07-02 08:09:00,2023-07-02,08:09:00,8,29.92,1011.6
65,2023-07-02 08:25:00,2023-07-02,08:25:00,8,29.92,1011.6
66,2023-07-02 08:51:00,2023-07-02,08:51:00,8,29.92,1012.2
67,2023-07-02 09:04:00,2023-07-02,09:04:00,9,29.91,1011.6
68,2023-07-02 09:32:00,2023-07-02,09:32:00,9,29.92,1011.6
69,2023-07-02 09:51:00,2023-07-02,09:51:00,9,29.92,1012.0
70,2023-07-02 10:29:00,2023-07-02,10:29:00,10,29.92,1011.6
71,2023-07-02 10:51:00,2023-07-02,10:51:00,10,29.92,1012.2
72,2023-07-02 11:03:00,2023-07-02,11:03:00,11,29.92,1011.6
73,2023-07-02 11:49:00,2023-07-02,11:49:00,11,29.92,1011.6
74,2023-07-02 11:51:00,2023-07-02,11:51:00,11,29.92,1012.1
75,2023-07-02 12:27:00,2023-07-02,12:27:00,12,29.91,1011.6
76,2023-07-02 12:51:00,2023-07-02,12:51:00,12,29.91,1011.9
77,2023-07-02 13:19:00,2023-07-02,13:19:00,13,29.9,1011.6
78,2023-07-02 13:51:00,2023-07-02,13:51:00,13,29.9,1011.5
79,2023-07-02 14:51:00,2023-07-02,14:51:00,14,29.9,1011.6
80,2023-07-02 15:51:00,2023-07-02,15:51:00,15,29.9,1011.5
81,2023-07-02 16:22:00,2023-07-02,16:22:00,16,29.9,1011.6
82,2023-07-02 16:51:00,2023-07-02,16:51:00,16,29.89,1011.2
83,2023-07-02 17:51:00,2023-07-02,17:51:00,17,29.87,1010.6
84,2023-07-02 18:51:00,2023-07-02,18:51:00,18,29.86,1010.0
85,2023-07-02 19:51:00,2023-07-02,19:51:00,19,29.85,1009.9
