,valid,date,time,hour,sky_coverage
0,2023-06-30 00:51:00,2023-06-30,00:51:00,0,CLR
1,2023-06-30 01:51:00,2023-06-30,01:51:00,1,CLR
2,2023-06-30 02:51:00,2023-06-30,02:51:00,2,CLR
3,2023-06-30 03:51:00,2023-06-30,03:51:00,3,CLR
4,2023-06-30 04:51:00,2023-06-30,04:51:00,4,CLR
5,2023-06-30 05:51:00,2023-06-30,05:51:00,5,CLR
6,2023-06-30 06:51:00,2023-06-30,06:51:00,6,FEW
7,2023-06-30 07:51:00,2023-06-30,07:51:00,7,OVC
8,2023-06-30 08:51:00,2023-06-30,08:51:00,8,CLR
9,2023-06-30 09:51:00,2023-06-30,09:51:00,9,CLR
10,2023-06-30 10:51:00,2023-06-30,10:51:00,10,CLR
11,2023-06-30 11:42:00,2023-06-30,11:42:00,11,CLR
12,2023-06-30 11:51:00,2023-06-30,11:51:00,11,CLR
13,2023-06-30 12:01:00,2023-06-30,12:01:00,12,CLR
14,2023-06-30 12:51:00,2023-06-30,12:51:00,12,CLR
15,2023-06-30 13:51:00,2023-06-30,13:51:00,13,FEW
16,2023-06-30 14:51:00,2023-06-30,14:51:00,14,SCT
17,2023-06-30 15:51:00,2023-06-30,15:51:00,15,FEW
18,2023-06-30 16:29:00,2023-06-30,16:29:00,16,FEW
19,2023-06-30 16:42:00,2023-06-30,16:42:00,16,FEW
20,2023-06-30 16:51:00,2023-06-30,16:51:00,16,SCT
21,2023-06-30 17:51:00,2023-06-30,17:51:00,17,FEW
22,2023-06-30 18:51:00,2023-06-30,18:51:00,18,CLR
23,2023-06-30 19:40:00,2023-06-30,19:40:00,19,CLR
24,2023-06-30 19:51:00,2023-06-30,19:51:00,19,CLR
25,2023-06-30 20:51:00,2023-06-30,20:51:00,20,CLR
26,2023-06-30 21:34:00,2023-06-30,21:34:00,21,CLR
27,2023-06-30 21:51:00,2023-06-30,21:51:00,21,CLR
28,2023-06-30 22:51:00,2023-06-30,22:51:00,22,CLR
29,2023-06-30 23:51:00,2023-06-30,23:51:00,23,CLR
30,2023-07-01 00:51:00,2023-07-01,00:51:00,0,CLR
31,2023-07-01 01:51:00,2023-07-01,01:51:00,1,CLR
32,2023-07-01 02:51:00,2023-07-01,02:51:00,2,CLR
33,2023-07-01 03:51:00,2023-07-01,03:51:00,3,CLR
34,2023-07-01 04:51:00,2023-07-01,04:51:00,4,CLR
35,2023-07-01 05:51:00,2023-07-01,05:51:00,5,CLR
36,2023-07-01 06:51:00,2023-07-01,06:51:00,6,CLR
37,2023-07-01 07:51:00,2023-07-01,07:51:00,7,CLR
38,2023-07-01 08:51:00,2023-07-01,08:51:00,8,CLR
39,2023-07-01 09:51:00,2023-07-01,09:51:00,9,CLR
40,2023-07-01 10:51:00,2023-07-01,10:51:00,10,CLR
41,2023-07-01 11:51:00,2023-07-01,11:51:00,11,CLR
42,2023-07-01 12:51:00,2023-07-01,12:51:00,12,BKN
43,2023-07-01 13:51:00,2023-07-01,13:51:00,13,BKN
44,2023-07-01 14:51:00,2023-07-01,14:51:00,14,OVC
45,2023-07-01 15:51:00,2023-07-01,15:51:00,15,SCT
46,2023-07-01 16:51:00,2023-07-01,16:51:00,16,CLR
47,2023-07-01 17:51:00,2023-07-01,17:51:00,17,FEW
48,2023-07-01 18:51:00,2023-07-01,18:51:00,18,CLR
